kernel_sizes,num_filters,num_fc_layers,fc_size,accuracy,iteration,class0_accuracy,class1_accuracy,class2_accuracy,class3_accuracy,class4_accuracy,class5_accuracy,class6_accuracy,class7_accuracy,class8_accuracy,class9_accuracy
"[3, 3, 3]",32,2,64,56.92,4,69.7872340425532,70.56737588652483,51.0,34.8936170212766,48.57954545454545,35.23537803138374,70.56737588652483,68.07142857142857,69.50354609929079,53.40425531914894
"[3, 3]",32,3,128,56.45111111111111,0,68.29787234042553,66.95035460992908,59.42857142857143,32.12765957446808,44.74431818181818,40.65620542082739,70.63829787234043,62.57142857142857,61.41843971631206,56.45390070921986
"[3, 3]",32,3,128,55.69555555555556,1,67.16312056737588,66.24113475177305,55.57142857142857,30.070921985815602,49.43181818181818,43.36661911554921,72.90780141843972,54.714285714285715,65.53191489361703,54.11347517730496
"[3, 3]",32,3,128,56.275555555555556,2,65.2482269503546,62.269503546099294,59.142857142857146,42.05673758865248,45.38352272727273,36.51925820256776,68.01418439716312,62.214285714285715,64.18439716312056,58.93617021276596
"[3, 3]",32,3,128,56.49777777777778,3,72.41134751773049,66.09929078014184,54.42857142857143,40.92198581560284,40.76704545454545,36.51925820256776,63.90070921985816,70.28571428571429,60.56737588652482,57.801418439716315
"[3, 3]",32,3,128,55.96111111111111,4,67.58865248226951,57.5177304964539,48.5,38.86524822695036,48.36647727272727,35.02139800285307,67.02127659574468,65.64285714285714,63.90070921985816,67.51773049645391
"[3, 3]",32,3,64,55.53777777777778,0,73.75886524822695,72.76595744680851,53.92857142857143,38.01418439716312,36.36363636363637,39.37232524964337,67.02127659574468,62.785714285714285,58.01418439716312,50.638297872340424
"[3, 3]",32,3,64,56.55555555555556,1,65.53191489361703,60.283687943262414,48.57142857142857,31.70212765957447,50.78125,41.58345221112696,74.68085106382979,66.57142857142857,64.7517730496454,61.773049645390074
"[3, 3]",32,3,64,55.41,2,65.67375886524823,62.4113475177305,50.642857142857146,50.141843971631204,51.63352272727273,25.748930099857347,65.177304964539,56.5,66.09929078014184,57.5177304964539
"[3, 3]",32,3,64,56.352222222222224,3,61.98581560283688,62.4113475177305,58.142857142857146,41.13475177304964,46.30681818181818,35.44935805991441,71.20567375886525,61.92857142857143,61.702127659574465,61.347517730496456
"[3, 3]",32,3,64,56.59,4,67.23404255319149,62.97872340425532,49.42857142857143,41.56028368794326,42.96875,33.09557774607703,74.53900709219859,59.714285714285715,65.177304964539,66.17021276595744
